Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
62,Jrue Holiday,PG,32,MIL,43,41,1412,312,679,.459,97,263,.369,215,416,.517,.531,101,118,.856,56,167,223,307,56,17,134,85,822,holidjr01
63,Harrison Barnes,PF,30,SAC,54,54,1756,248,519,.478,92,240,.383,156,279,.559,.566,228,275,.829,53,200,253,89,42,7,65,70,816,barneha02
64,P.J. Washington,PF,24,CHO,55,55,1804,306,709,.432,108,319,.339,198,390,.508,.508,94,122,.770,56,193,249,135,51,58,76,150,814,washipj01
65,Aaron Gordon,PF,27,DEN,48,48,1445,308,529,.582,47,120,.392,261,409,.638,.627,148,237,.624,115,208,323,137,39,38,77,90,811,gordoaa01
66,Norman Powell,SG,29,LAC,48,7,1242,271,558,.486,97,231,.420,174,327,.532,.573,172,215,.800,19,131,150,83,38,16,81,97,811,powelno01
67,Devin Booker,SG,26,PHO,30,30,1027,289,608,.475,69,189,.365,220,419,.525,.532,158,187,.845,23,115,138,167,26,11,72,82,805,bookede01
68,Jonas Valančiūnas,C,30,NOP,55,55,1353,319,587,.543,31,90,.344,288,497,.579,.570,134,162,.827,158,381,539,91,15,28,107,169,803,valanjo01
69,Josh Giddey,SG,20,OKC,49,49,1517,346,708,.489,47,149,.315,299,559,.535,.522,59,76,.776,96,291,387,289,37,24,152,103,798,giddejo01
70,Jaden Ivey,SG,20,DET,52,51,1556,269,639,.421,72,213,.338,197,426,.462,.477,176,245,.718,50,152,202,234,49,13,148,159,786,iveyja01
71,Christian Wood,C,27,DAL,44,17,1254,285,538,.530,75,200,.375,210,338,.621,.599,138,185,.746,62,306,368,76,20,54,92,125,783,woodch01
72,James Harden,PG,33,PHI,37,37,1350,238,529,.450,104,267,.390,134,262,.511,.548,202,236,.856,20,213,233,404,44,20,127,79,782,hardeja01
73,Tobias Harris,PF,30,PHI,49,49,1653,309,617,.501,86,230,.374,223,387,.576,.571,71,82,.866,50,249,299,131,48,27,65,101,775,harrito02
74,Saddiq Bey,SF,23,DET,52,30,1500,245,606,.404,101,293,.345,144,313,.460,.488,180,209,.861,59,183,242,84,50,12,54,86,771,beysa01
75,Alperen Şengün,C,20,HOU,50,47,1413,302,529,.571,12,36,.333,290,493,.588,.582,154,207,.744,158,280,438,188,42,51,124,171,770,sengual01
76,Kevin Porter Jr.,PG,22,HOU,40,40,1359,269,615,.437,88,254,.346,181,361,.501,.509,141,184,.766,55,163,218,225,53,16,143,109,767,porteke02
77,OG Anunoby,SF,25,TOR,45,45,1611,282,617,.457,86,235,.366,196,382,.513,.527,110,134,.821,68,180,248,91,93,35,98,133,760,anunoog01
78,Brook Lopez,C,34,MIL,53,53,1606,290,579,.501,96,260,.369,194,319,.608,.584,84,109,.771,100,237,337,63,26,129,72,135,760,lopezbr01
79,Kevin Huerter,SG,24,SAC,51,51,1546,276,579,.477,136,346,.393,140,233,.601,.594,69,97,.711,29,137,166,150,57,15,71,126,757,huertke01
80,Zion Williamson,PF,22,NOP,29,29,956,285,469,.608,7,19,.368,278,450,.618,.615,177,248,.714,58,144,202,133,32,16,99,65,754,willizi01
81,Dillon Brooks,SF,27,MEM,49,49,1503,279,714,.391,90,290,.310,189,424,.446,.454,91,116,.784,29,134,163,130,42,8,76,163,739,brookdi01
82,Malik Beasley,SG,26,UTA,55,13,1472,265,669,.396,169,471,.359,96,198,.485,.522,37,44,.841,27,170,197,93,44,8,60,75,736,beaslma01
83,Jarrett Allen,C,24,CLE,50,50,1657,302,466,.648,1,8,.125,301,458,.657,.649,117,166,.705,152,341,493,83,41,60,77,108,722,allenja01
84,Tim Hardaway Jr.,SG,30,DAL,52,35,1581,241,640,.377,145,411,.353,96,229,.419,.490,94,125,.752,19,165,184,87,40,7,47,86,721,hardati02
85,Malik Monk,SG,24,SAC,53,0,1204,252,568,.444,90,272,.331,162,296,.547,.523,124,136,.912,27,111,138,205,36,12,105,84,718,monkma01
86,Bradley Beal,SG,29,WAS,32,32,1050,269,524,.513,51,142,.359,218,382,.571,.562,122,143,.853,27,85,112,167,26,22,84,58,711,bealbr01
87,Kelly Oubre Jr.,SF,27,CHO,35,30,1141,263,624,.421,80,260,.308,183,364,.503,.486,100,140,.714,52,127,179,42,55,13,44,104,706,oubreke01
88,De'Andre Hunter,SF,25,ATL,45,45,1435,251,552,.455,72,198,.364,179,354,.506,.520,131,156,.840,29,164,193,63,24,8,56,136,705,huntede01
89,Kawhi Leonard,SF,31,LAC,32,30,1032,257,516,.498,50,136,.368,207,380,.545,.547,139,161,.863,40,155,195,129,45,16,48,47,703,leonaka01
90,Trey Murphy III,SF,22,NOP,53,43,1558,239,488,.490,119,295,.403,120,193,.622,.612,96,104,.923,42,154,196,70,54,26,39,109,693,murphtr02
91,Immanuel Quickley,PG,23,NYK,55,10,1532,242,563,.430,93,268,.347,149,295,.505,.512,114,136,.838,35,188,223,176,47,6,61,113,691,quickim01
